# Generated by .omo/evidence/task-r3-opencode-inventory-generator.py
# Scope: case-sensitive lowercase `opencode` in crates/*/src/**/*
# Source snapshot SHA-256: 7b1e580cc588eeb01d59c40c68a264f24b8d01d3db3600d67456e41c7a5efa5a
# Total occurrences: 852
# Classified occurrences: 852
# Unclassified occurrences: 0
# historical-citation: 55
# plugin-abi: 69
# unclassified: 0
# upstream-artifact-reference: 728
# zuno-owned-stale-identity: 0
path	line	column	class	reason	source
crates/oc-agent/src/builtin.rs	8	37	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! this project slims from, `oh-my-opencode-slim`, ships nine
crates/oc-agent/src/builtin.rs	12	18	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	//! `.omo/drafts/opencode-rust.md`.
crates/oc-agent/src/builtin.rs	133	30	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	/// recorded in `.omo/drafts/opencode-rust.md`. It keeps the property that actually
crates/oc-agent/src/builtin.rs	151	39	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	    /// Deviation (2) in `.omo/drafts/opencode-rust.md`: slim disables its
crates/oc-agent/src/builtin.rs	473	16	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// (`packages/opencode/src/agent/agent.ts:140-265`, ported as data in
crates/oc-agent/src/builtin.rs	857	50	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// Upstream declares seven natives at `packages/opencode/src/agent/agent.ts:140-265`.
crates/oc-agent/src/continuation.rs	11	16	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! (`packages/opencode/src/tool/task.ts:167-172`) — and this module's seam is shaped
crates/oc-agent/src/continuation.rs	34	32	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! in its turn it was. `oh-my-opencode-slim` recognises the hazard and answers it with
crates/oc-agent/src/lib.rs	30	16	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! (`packages/opencode/src/tool/task.ts:262` against `:294`). The board it renders is
crates/oc-agent/src/model_policy.rs	6	12	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `oh-my-opencode-slim` defaults every agent's model to nothing at all
crates/oc-agent/src/model_policy.rs	12	46	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! > Users can override per-agent via oh-my-opencode-slim.json agents.\<name\>.model.
crates/oc-agent/src/model_policy.rs	710	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// `opencode models` would print. A bare model id is *not* available: see
crates/oc-agent/src/plan_file.rs	3	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Oracle: `packages/opencode/src/session/session.ts:331-335`.
crates/oc-agent/src/plan_file.rs	172	25	historical-citation	pre-rename path named only to detect or instruct migration away from it	/// at the pre-rename `.opencode/plans/` path. Reporting "no plan" there would make
crates/oc-auth/src/lib.rs	4	21	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! the TypeScript `opencode` binary that may have written them:
crates/oc-auth/src/lib.rs	72	34	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! | [`Credential`] | `packages/opencode/src/auth/index.ts:14-35` |
crates/oc-auth/src/lib.rs	75	57	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! | [`Entry`], [`Tokens`], [`ClientInfo`] | `packages/opencode/src/mcp/auth.ts:9-32` |
crates/oc-auth/src/mcp.rs	3	25	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! A port of `packages/opencode/src/mcp/auth.ts`. The file is a JSON object keyed
crates/oc-auth/src/mcp.rs	40	20	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	//! `.omo/notepads/opencode-rust/issues.md` for task 46, which owns the MCP OAuth
crates/oc-auth/src/provider.rs	3	25	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! A port of `packages/opencode/src/auth/index.ts`. The file is a JSON object
crates/oc-auth/src/provider.rs	14	21	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `$XDG_DATA_HOME/opencode/auth.json` this machine's 1.18.12 binary maintains,
crates/oc-auth/src/provider.rs	24	8	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! - `opencode auth list` on a file written by [`AuthStore::set`] lists all three
crates/oc-auth/src/provider.rs	50	36	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	pub const OAUTH_DUMMY_KEY: &str = "opencode-oauth-dummy-key";
crates/oc-auth/src/provider.rs	105	10	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    /// `opencode auth list` prints beside the provider.
crates/oc-auth/src/provider.rs	166	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// `opencode auth logout filebeta` left exactly `{"envgamma":…}` on disk;
crates/oc-auth/src/store.rs	25	21	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! into `0600` on `opencode auth logout`.
